Name	Timestep	Value
Nature phase	97	approaching
Nature action	98	Nature-evolve
Nature category	98	3
Nature days	98	2
Nature location	98	Region09
Nature phase	98	approaching
Nature action	99	Nature-evolve
Nature category	99	3
Nature days	99	0
Nature location	99	Region09
Nature phase	99	active
Nature action	100	Nature-evolve
Nature category	100	3
Nature days	100	1
Nature location	100	Region05
Nature phase	100	active
Nature action	101	Nature-evolve
Nature category	101	3
Nature days	101	2
Nature location	101	Region06
Nature phase	101	active
Nature action	102	Nature-evolve
Nature category	102	3
Nature days	102	3
Nature location	102	Region06
Nature phase	102	active
Nature action	103	Nature-evolve
Nature category	103	3
Nature days	103	4
Nature location	103	Region07
Nature phase	103	active
Nature action	104	Nature-evolve
Nature category	104	3
Nature days	104	5
Nature location	104	Region03
Nature phase	104	active
Nature action	105	Nature-evolve
Nature category	105	3
Nature days	105	6
Nature location	105	Region04
Nature phase	105	active
Nature action	106	Nature-evolve
Nature category	106	3
Nature days	106	7
Nature location	106	none
Nature phase	106	active
Nature action	107	Nature-evolve
Nature category	107	0
Nature days	107	0
Nature location	107	none
Nature phase	107	none
Nature action	108	Nature-evolve
Nature category	108	0
Nature days	108	1
Nature location	108	none
Nature phase	108	none
Nature action	109	Nature-evolve
Nature category	109	0
Nature days	109	2
Nature location	109	none
Nature phase	109	none
Nature action	110	Nature-evolve
Nature category	110	2
Nature days	110	0
Nature location	110	Region01
Nature phase	110	approaching
Nature action	111	Nature-evolve
Nature category	111	1
Nature days	111	1
Nature location	111	Region01
Nature phase	111	approaching
Nature action	112	Nature-evolve
Nature category	112	2
Nature days	112	2
Nature location	112	Region01
Nature phase	112	approaching
Nature action	113	Nature-evolve
Nature category	113	2
Nature days	113	3
Nature location	113	Region01
Nature phase	113	approaching
Nature action	114	Nature-evolve
Nature category	114	1
Nature days	114	4
Nature location	114	Region01
Nature phase	114	approaching
Nature action	115	Nature-evolve
Nature category	115	1
Nature days	115	5
Nature location	115	Region01
Nature phase	115	approaching
Nature action	116	Nature-evolve
Nature category	116	1
Nature days	116	0
Nature location	116	Region01
Nature phase	116	active
Nature action	117	Nature-evolve
Nature category	117	1
Nature days	117	1
Nature location	117	Region02
Nature phase	117	active
Nature action	118	Nature-evolve
Nature category	118	1
Nature days	118	2
Nature location	118	Region03
Nature phase	118	active
Nature action	119	Nature-evolve
Nature category	119	1
Nature days	119	3
Nature location	119	Region03
Nature phase	119	active
Nature action	120	Nature-evolve
Nature category	120	1
Nature days	120	4
Nature location	120	none
Nature phase	120	active
Nature action	121	Nature-evolve
Nature category	121	0
Nature days	121	0
Nature location	121	none
Nature phase	121	none
Nature action	122	Nature-evolve
Nature category	122	0
Nature days	122	1
Nature location	122	none
Nature phase	122	none
Nature action	123	Nature-evolve
Nature category	123	0
Nature days	123	2
Nature location	123	none
Nature phase	123	none
Nature action	124	Nature-evolve
Nature category	124	3
Nature days	124	0
Nature location	124	Region09
Nature phase	124	approaching
Nature action	125	Nature-evolve
Nature category	125	3
Nature days	125	1
Nature location	125	Region09
Nature phase	125	approaching
Nature action	126	Nature-evolve
Nature category	126	3
Nature days	126	2
Nature location	126	Region09
Nature phase	126	approaching
Nature action	127	Nature-evolve
Nature category	127	2
Nature days	127	3
Nature location	127	Region09
Nature phase	127	approaching
Nature action	128	Nature-evolve
Nature category	128	2
Nature days	128	0
Nature location	128	Region09
Nature phase	128	active
Nature action	129	Nature-evolve
Nature category	129	2
Nature days	129	1
Nature location	129	Region10
Nature phase	129	active
Nature action	130	Nature-evolve
Nature category	130	2
Nature days	130	2
Nature location	130	Region11
Nature phase	130	active
Nature action	131	Nature-evolve
Nature category	131	2
Nature days	131	3
Nature location	131	Region07
Nature phase	131	active
Nature action	132	Nature-evolve
Nature category	132	2
Nature days	132	4
Nature location	132	Region08
Nature phase	132	active
Nature action	133	Nature-evolve
Nature category	133	2
Nature days	133	5
Nature location	133	none
Nature phase	133	active
Nature action	134	Nature-evolve
Nature category	134	0
Nature days	134	0
Nature location	134	none
Nature phase	134	none
Nature action	135	Nature-evolve
Nature category	135	0
Nature days	135	1
Nature location	135	none
Nature phase	135	none
Nature action	136	Nature-evolve
Nature category	136	0
Nature days	136	2
Nature location	136	none
Nature phase	136	none
Nature action	137	Nature-evolve
Nature category	137	3
Nature days	137	0
Nature location	137	Region01
Nature phase	137	approaching
Nature action	138	Nature-evolve
Nature category	138	3
Nature days	138	1
Nature location	138	Region01
Nature phase	138	approaching
Nature action	139	Nature-evolve
Nature category	139	3
Nature days	139	2
Nature location	139	Region01
Nature phase	139	approaching
Nature action	140	Nature-evolve
Nature category	140	3
Nature days	140	0
Nature location	140	Region01
Nature phase	140	active
Nature action	141	Nature-evolve
Nature category	141	3
Nature days	141	1
Nature location	141	none
Nature phase	141	active
Nature action	142	Nature-evolve
Nature category	142	0
Nature days	142	0
Nature location	142	none
Nature phase	142	none
Nature action	143	Nature-evolve
Nature category	143	0
Nature days	143	1
Nature location	143	none
Nature phase	143	none
Nature action	144	Nature-evolve
Nature category	144	0
Nature days	144	2
Nature location	144	none
Nature phase	144	none
Nature action	145	Nature-evolve
Nature category	145	1
Nature days	145	0
Nature location	145	Region01
Nature phase	145	approaching
Nature action	146	Nature-evolve
Nature category	146	1
Nature days	146	1
Nature location	146	Region01
Nature phase	146	approaching
Nature action	147	Nature-evolve
Nature category	147	2
Nature days	147	2
Nature location	147	Region01
Nature phase	147	approaching
Nature action	148	Nature-evolve
Nature category	148	2
Nature days	148	0
Nature location	148	Region01
Nature phase	148	active
Nature action	149	Nature-evolve
Nature category	149	2
Nature days	149	1
Nature location	149	none
Nature phase	149	active
Nature action	150	Nature-evolve
Nature category	150	0
Nature days	150	0
Nature location	150	none
